author_name	author_date	author_gender	author_viaf	title	novel_id	first_edition	num_word	size	time_slot	canonicity
Abonyi Árpád	1865-1918	M	39125767	A havasok ura	HU12391	1906	25490	short	T4	low
Abonyi Árpád	1865-1918	M	39125767	A mammuth	HU16305	1894	28678	short	T3	low
Abonyi Árpád	1865-1918	M	39125767	A második férj	HU16492	1895	66827	medium	T3	low
Abonyi Árpád	1865-1918	M	39125767	A nagyasszony : Regény : ELTeC edition	HU12028	1892	23378	short	T3	low
Abonyi Árpád	1865-1918	M	39125767	A pavlinoi csoda	HU11875	1901	34171	short	T4	low
Abonyi Árpád	1865–1918	M	39125767	A vörös Regina	HU05665	1918	72614	medium	T4	low
Abonyi Árpád	1865-1918	M	39125767	Fülöp házassága	HU12017	1891	30622	short	T3	low
Abonyi Árpád	1865-1918	M	39125767	Jön a hajnal	HU16153	1897	30344	short	T3	low
Abonyi Árpád	1865-1918	M	39125767	Két leány regénye : A Fráterek és a Grabowszkiak	HU14494	1904	29713	short	T4	low
Abonyi Árpád	1865-1918	M	39125767	Magyar fiuk Afrikában	HU11858	1907	25445	short	T4	low
Abonyi Árpád	1865-1918	M	39125767	Rákolti György utazása a gambai császárságba	HU12856	1905	44767	short	T4	low
Abonyi Lajos	1833-1898	M	68652301	A fekete kutya	HU15491	1880	25902	short	T3	low
Abonyi Lajos	1833-1898	M	68652301	A "pénzes molnár" románca	HU13336	1889	21034	short	T3	low
Abonyi Lajos	1833-1898	M	68652301	A tyuki prókátor kliensei	HU14165	1889	26788	short	T3	low
Abonyi Lajos	1833-1898	M	68652301	Magduska öröksége : Regény : ELTeC edition	HU13802	1886	52809	medium	T3	low
Ábrahám Ernő	1882-1945	M	5289705	Csillagok a Tiszában	HU16529	1914	51818	medium	T4	low
Ábrai Károly	1830-1912	M	164963805	48-tól Világosig	HU18411	1860	35541	short	T2	low
Ábrányi Kornél	1849-1913	M	57808720	Régi és uj nemesek : Eredeti regény : ELTeC edition	HU14548	1881	58746	medium	T3	low
Ágai Adolf	1836-1916	M	19711540	Rontó Pál viselt dolgai vizen és szárazon	HU11795	1912	41719	short	T4	low
Ambrus Zoltán	1861-1932	M	49239294	Midas király : ELTeC edition	HU05286	1906	143418	long	T4	high
Ambrus Zoltán	1861-1932	M	49239294	Solus eris	HU04378	1907	62236	medium	T4	high
Ambrus Zoltán	1861-1932	M	49239294	Szeptember	HU14537	1897	31198	short	T3	low
Andor Mária	1890-1960	F	noViaf	Bébike memoárjai : Egy kis kutya önéletrajza : ELTeC edition	HU11129	1918	47151	short	T4	low
Asbóth János	1845-1911	M	31986094	Álmok álmodója : ELTeC edition	HU19000	1878	38109	short	T2	high
Aszlányi Károly	1908-1938	M	109684117	A befalazott halál	HU15420	1935	10463	short	T5	low
Aszlányi Károly	1908-1938	M	109684117	A gazdag ember	HU12736	1938	49818	short	T5	low
Aszlányi Károly	1908-1938	M	109684117	A kétfenekű dob	HU15572	1933	10224	short	T5	low
Aszlányi Károly	1908-1938	M	109684117	Brentford rendet csinál	HU12645	1937	51231	medium	T5	low
Aszlányi Károly	1908-1938	M	109684117	Özöngáz	HU08665	1936	48424	short	T5	high
Aszlányi Károly	1908-1938	M	109684117	Pénz a láthatáron	HU12618	1929	49036	short	T5	high
Aszlányi Károly	1908-1938	M	109684117	Szélhámosok	HU13372	1939	35720	short	T5	low
Babits Mihály	1883-1941	M	49221125	A gólyakalifa : ELTeC edition	HU00600	1916	38365	short	T4	high
Babits Mihály	1883-1941	M	49221125	Elza pilóta	HU11786	1933	61849	medium	T5	high
Babits Mihály	1883-1941	M	49221125	Halálfiai	HU05361	1927	189763	long	T5	high
Babits Mihály	1883-1941	M	49221125	Kártyavár	HU04777	1923	79660	medium	T5	high
Balázs Béla	1884-1949	M	9842518	Álmodó ifjúság	HU21612	1946	99673	medium	T6	low
Bársony István	1855-1928	M	84079235	A királytigris	HU12769	1901	29032	short	T4	low
Bársony István	1855-1928	M	84079235	A rab király szabadon : Fantasztikus állatregény : ELTeC edition	HU12750	1903	30756	short	T4	low
Bársony István	1855-1928	M	84079235	Dobogó szívek	HU08545	1891	31503	short	T3	low
Bársony István	1855-1928	M	19708135	Ingovány	HU06691	1901	36412	short	T4	low
Bársony István	1855-1928	M	84079235	Szelek útján	HU13397	1902	36155	short	T4	low
Barta Sándor	1897-1938	M	121398316	Aranyásók	HU07141	1957	110771	long	T6	low
Bartók Lajos	1851-1902	M	121399672	A szemfényvesztők : Regény : ELTeC edition	HU16124	1896	41351	short	T3	low
Beksics Gusztáv	1847-1906	M	1850649	Ködös problémák	HU09286	1904	30042	short	T4	low
Beksics Gusztávné	1849-1903	F	noViaf	A bukottak	HU16243	1892	29198	short	T3	high
Benedek Elek	1859-1929	M	120201932	Édes anyaföldem! : Egy nép s egy ember története	HU08358	1920	149962	long	T4	high
Benedek Elek	1859-1929	M	120201932	Honszerző Árpád	HU16176	1907	39623	short	T4	high
Benedek Elek	1859-1929	M	120201932	Huszár Anna	HU14483	1893	29627	short	T3	low
Benedek Elek	1859-1929	M	120201932	Katalin	HU12551	1896	50042	medium	T3	low
Benedek Elek	1859-1929	M	120201932	Nagyapóéknál	HU16486	1896	22459	short	T3	low
Benedek Elek	1859-1929	M	120201932	Toldi Miklós : Arany János műve nyomán : ELTeC edition	HU00233	1911	42595	short	T4	high
Benedek Elek	1859-1929	M	120201932	Uzoni Margit	HU16700	1908	33071	short	T4	low
Beniczkyné Bajza Lenke	1839-1905	F	20466121	A gyöngy-sor	HU17571	1888	33343	short	T3	low
Beniczkyné Bajza Lenke	1839-1905	F	20466121	A házasság titka	HU17531	1890	27155	short	T3	low
